task_id,topic,level,category,subcategory,notes,gold_short,pred_short
15,fraud_metric,easy,token_corruption,,non_ascii=0.21,7.787407,SF AGAIN彩彩 SF BY AGAIN上课时间 BY AGAIN上课时间 BY ANY AGAIN上课时间 SF 
16,fraud_metric,easy,wrong_single_value,possibly_reversed_direction,question_says_lowest,Crossfit_Hanna,Golfclub_Baron_Friso
17,fraud_metric,easy,numeric_off,<50%,diff=0.1377,8.91,7.683437
18,fraud_metric,easy,wrong_single_value,possibly_reversed_direction,question_says_highest,TransactPlus,SwiftCharge
19,fraud_metric,easy,numeric_off,<50%,diff=0.1708,9.676954,8.024467
36,transaction_count,easy,numeric_off,<50%,diff=0.1111,2.688013,2.986691
43,reference_lookup,easy,numeric_very_wrong,>=50%,diff=2.0248,90.696,274.334
49,reference_lookup,easy,list_no_overlap,,|gold|=2 |pred|=2,B. BE,A. NL
58,fraud_metric,easy,numeric_off,<50%,diff=0.1600,9.765683,8.202812
60,fraud_metric,easy,list_mostly_wrong,,jaccard=0.33,"Belles_cookbook_store, ES, SwiftCharge, Ecommerce","Martinis_Fine_Steakhouse, BE, SwiftCharge, Ecommerce"
61,fraud_metric,easy,wrong_single_value,possibly_reversed_direction,question_says_highest,Rafa_AI,Martinis_Fine_Steakhouse
70,fraud_metric,easy,yes_no_when_na_expected,,,Not Applicable,yes
71,other,easy,yes_no_when_na_expected,,,Not Applicable,yes
889,aci_format,hard,list_no_overlap,,|gold|=6 |pred|=6,"[A: 60.18, D: 88.00, C: 88.72, F: 93.75, G: 97.09, B: 128.42",Moonbeam-code7C0Deb786Ce1911cBE19111C1918Ec7BE191191E191190C
1275,delta_what_if,hard,numeric_close,<5%,diff=0.0149,0.120609,0.122408
1278,delta_what_if,hard,numeric_near_miss,<0.5%,diff=0.0022,0.352294,0.353053
1279,delta_what_if,hard,numeric_close,<5%,diff=0.0229,0.338686,0.346440
1280,delta_what_if,hard,numeric_close,<5%,diff=0.0167,0.344433,0.350172
1281,delta_what_if,hard,numeric_close,<5%,diff=0.0120,0.560694,0.553984
1286,delta_what_if,hard,numeric_close,<5%,diff=0.0069,2.892936,2.912842
1287,delta_what_if,hard,numeric_close,<5%,diff=0.0268,2.792051,2.8668
1290,delta_what_if,hard,numeric_close,<5%,diff=0.0072,5.715872,5.757053
1292,delta_what_if,hard,numeric_close,<5%,diff=0.0240,5.580200,5.714397
1294,delta_what_if,hard,numeric_close,<5%,diff=0.0075,28.299358,28.510737
1295,delta_what_if,hard,numeric_close,<5%,diff=0.0273,27.325705,28.070400
1296,delta_what_if,hard,numeric_close,<5%,diff=0.0244,27.625533,28.300603
1297,delta_what_if,hard,numeric_close,<5%,diff=0.0099,6.111782,6.051579
1299,delta_what_if,hard,numeric_close,<5%,diff=0.0271,6.793763,6.977787
