task_id,correct,tool_calls,thinking_blocks,repl_timeouts,events,pred_final,gold,trace_path
1,True,5,0,0,15,138236,138236,results/v23_gpt5_easy_all72/1/sessions/normal_agent.jsonl
10,True,4,0,0,13,5,5,results/v23_gpt5_easy_all72/10/sessions/normal_agent.jsonl
11,True,1,0,0,5,4811.76,4811.76,results/v23_gpt5_easy_all72/11/sessions/normal_agent.jsonl
12,True,8,0,0,25,GlobalCard,GlobalCard,results/v23_gpt5_easy_all72/12/sessions/normal_agent.jsonl
13,True,5,0,0,14,14,14,results/v23_gpt5_easy_all72/13/sessions/normal_agent.jsonl
14,False,0,0,0,1,,has_fraudulent_dispute,results/v23_gpt5_easy_all72/14/sessions/normal_agent.jsonl
15,False,0,0,0,1,,7.787407,results/v23_gpt5_easy_all72/15/sessions/normal_agent.jsonl
16,False,4,0,0,10,,Crossfit_Hanna,results/v23_gpt5_easy_all72/16/sessions/normal_agent.jsonl
17,True,4,0,0,10,8.907926%,8.91,results/v23_gpt5_easy_all72/17/sessions/normal_agent.jsonl
18,False,0,0,0,1,,TransactPlus,results/v23_gpt5_easy_all72/18/sessions/normal_agent.jsonl
19,True,3,0,0,10,9.676954,9.676954,results/v23_gpt5_easy_all72/19/sessions/normal_agent.jsonl
2,False,0,0,0,1,,91.852,results/v23_gpt5_easy_all72/2/sessions/normal_agent.jsonl
20,True,2,0,0,7,Crossfit_Hanna,Crossfit_Hanna,results/v23_gpt5_easy_all72/20/sessions/normal_agent.jsonl
21,False,0,0,0,1,,Crossfit_Hanna,results/v23_gpt5_easy_all72/21/sessions/normal_agent.jsonl
22,True,1,0,0,4,no,no,results/v23_gpt5_easy_all72/22/sessions/normal_agent.jsonl
23,True,4,0,0,12,0.0,0.0,results/v23_gpt5_easy_all72/23/sessions/normal_agent.jsonl
24,True,2,0,0,7,Other,Other,results/v23_gpt5_easy_all72/24/sessions/normal_agent.jsonl
25,True,1,0,0,5,2429,2429,results/v23_gpt5_easy_all72/25/sessions/normal_agent.jsonl
26,True,6,0,0,14,Crossfit_Hanna,Crossfit_Hanna,results/v23_gpt5_easy_all72/26/sessions/normal_agent.jsonl
27,True,5,0,0,13,13,13,results/v23_gpt5_easy_all72/27/sessions/normal_agent.jsonl
28,True,2,0,0,6,11.486208,11.486208,results/v23_gpt5_easy_all72/28/sessions/normal_agent.jsonl
29,True,6,0,0,14,yes,yes,results/v23_gpt5_easy_all72/29/sessions/normal_agent.jsonl
3,True,1,0,0,4,27647,27647,results/v23_gpt5_easy_all72/3/sessions/normal_agent.jsonl
30,True,2,0,0,8,Yes,yes,results/v23_gpt5_easy_all72/30/sessions/normal_agent.jsonl
31,True,6,0,0,20,C. both ip_address and email_address,C. both ip_address and email_address,results/v23_gpt5_easy_all72/31/sessions/normal_agent.jsonl
32,True,2,0,0,6,1.429,1.429,results/v23_gpt5_easy_all72/32/sessions/normal_agent.jsonl
33,True,1,0,0,4,46284,46284,results/v23_gpt5_easy_all72/33/sessions/normal_agent.jsonl
34,True,3,0,0,10,55192,55192,results/v23_gpt5_easy_all72/34/sessions/normal_agent.jsonl
35,False,0,0,0,1,,28629,results/v23_gpt5_easy_all72/35/sessions/normal_agent.jsonl
36,True,2,0,0,8,2.688013,2.688013,results/v23_gpt5_easy_all72/36/sessions/normal_agent.jsonl
37,True,5,0,0,14,2.724331,2.724331,results/v23_gpt5_easy_all72/37/sessions/normal_agent.jsonl
38,True,3,0,0,10,59.960502,59.960502,results/v23_gpt5_easy_all72/38/sessions/normal_agent.jsonl
39,False,0,0,0,1,,24.999277,results/v23_gpt5_easy_all72/39/sessions/normal_agent.jsonl
4,False,0,0,0,1,,NL,results/v23_gpt5_easy_all72/4/sessions/normal_agent.jsonl
40,True,2,0,0,6,9.999566,9.999566,results/v23_gpt5_easy_all72/40/sessions/normal_agent.jsonl
41,False,0,0,0,1,,ip_address,results/v23_gpt5_easy_all72/41/sessions/normal_agent.jsonl
42,True,2,0,0,6,no,no,results/v23_gpt5_easy_all72/42/sessions/normal_agent.jsonl
43,False,6,0,0,14,247.300,90.696,results/v23_gpt5_easy_all72/43/sessions/normal_agent.jsonl
44,True,2,0,0,6,61.855069,61.855069,results/v23_gpt5_easy_all72/44/sessions/normal_agent.jsonl
45,True,3,0,0,10,GlobalCard,GlobalCard,results/v23_gpt5_easy_all72/45/sessions/normal_agent.jsonl
46,True,6,0,0,14,1.544,1.544,results/v23_gpt5_easy_all72/46/sessions/normal_agent.jsonl
