task_id,correct,tool_calls,thinking_blocks,repl_timeouts,events,pred_final,gold,trace_path
1012,True,7,0,0,16,"[C: 64.94, F: 66.67, D: 70.09, G: 90.47, A: 175.34, B: 251.88]","[C: 64.94, F: 66.67, D: 70.09, G: 90.47, A: 175.34, B: 251.88]",results/v23_gpt5_hard_all378_FINAL/1012/sessions/normal_agent.jsonl
1217,True,8,0,0,18,"['POS: 88.49', 'Ecommerce: 97.68']","[POS: 88.49, Ecommerce: 97.68]",results/v23_gpt5_hard_all378_FINAL/1217/sessions/normal_agent.jsonl
1234,True,7,0,0,17,"[POS: 89.34, Ecommerce: 92.70]","[POS: 89.34, Ecommerce: 92.70]",results/v23_gpt5_hard_all378_FINAL/1234/sessions/normal_agent.jsonl
1274,True,2,0,0,6,0.126459,0.126459,results/v23_gpt5_hard_all378_FINAL/1274/sessions/normal_agent.jsonl
1275,True,3,0,0,11,0.120609,0.120609,results/v23_gpt5_hard_all378_FINAL/1275/sessions/normal_agent.jsonl
1277,True,3,0,0,8,0.315937,0.315937,results/v23_gpt5_hard_all378_FINAL/1277/sessions/normal_agent.jsonl
1278,False,3,0,0,10,0.353053,0.352294,results/v23_gpt5_hard_all378_FINAL/1278/sessions/normal_agent.jsonl
1279,True,3,0,0,8,0.338686,0.338686,results/v23_gpt5_hard_all378_FINAL/1279/sessions/normal_agent.jsonl
1280,True,5,0,0,12,0.344433,0.344433,results/v23_gpt5_hard_all378_FINAL/1280/sessions/normal_agent.jsonl
1281,False,2,0,0,6,0.553984,0.560694,results/v23_gpt5_hard_all378_FINAL/1281/sessions/normal_agent.jsonl
1286,True,2,0,0,8,2.892936,2.892936,results/v23_gpt5_hard_all378_FINAL/1286/sessions/normal_agent.jsonl
1287,True,2,0,0,6,2.792051,2.792051,results/v23_gpt5_hard_all378_FINAL/1287/sessions/normal_agent.jsonl
1289,True,2,0,0,8,4.966319,4.966319,results/v23_gpt5_hard_all378_FINAL/1289/sessions/normal_agent.jsonl
1290,False,5,0,0,17,5.757053,5.715872,results/v23_gpt5_hard_all378_FINAL/1290/sessions/normal_agent.jsonl
1292,False,2,0,0,6,5.714397,5.580200,results/v23_gpt5_hard_all378_FINAL/1292/sessions/normal_agent.jsonl
1294,True,3,0,0,9,28.299358,28.299358,results/v23_gpt5_hard_all378_FINAL/1294/sessions/normal_agent.jsonl
1295,True,4,0,0,10,27.325705,27.325705,results/v23_gpt5_hard_all378_FINAL/1295/sessions/normal_agent.jsonl
1296,True,3,0,0,8,27.625533,27.625533,results/v23_gpt5_hard_all378_FINAL/1296/sessions/normal_agent.jsonl
1297,True,3,0,0,8,6.111782,6.111782,results/v23_gpt5_hard_all378_FINAL/1297/sessions/normal_agent.jsonl
1299,True,4,0,0,10,6.793763,6.793763,results/v23_gpt5_hard_all378_FINAL/1299/sessions/normal_agent.jsonl
1300,False,7,0,0,21,7.035690,6.869852,results/v23_gpt5_hard_all378_FINAL/1300/sessions/normal_agent.jsonl
1301,False,6,0,0,14,3.090556,21.223076,results/v23_gpt5_hard_all378_FINAL/1301/sessions/normal_agent.jsonl
1302,True,3,0,0,8,24.465811,24.465811,results/v23_gpt5_hard_all378_FINAL/1302/sessions/normal_agent.jsonl
1305,False,6,0,0,19,0.146000,0.123217,results/v23_gpt5_hard_all378_FINAL/1305/sessions/normal_agent.jsonl
1308,True,5,0,0,17,0.123468,0.123468,results/v23_gpt5_hard_all378_FINAL/1308/sessions/normal_agent.jsonl
1312,False,3,0,0,8,0.325500,0.349255,results/v23_gpt5_hard_all378_FINAL/1312/sessions/normal_agent.jsonl
1331,False,5,0,0,17,6.395613,7.180793,results/v23_gpt5_hard_all378_FINAL/1331/sessions/normal_agent.jsonl
