task,shards,pred,gold,status,tc_total,esc_total
1712,fw2,Not Applicable,12.91,FAIL,30,1
1696,fw2,"36, 51, 64, 107, 123, 150, 163","64, 123, 304, 381, 384, 454, 4",FAIL,29,0
1507,fw,GlobalCard,GlobalCard,PASS,2,0
1348,"openrouter,fw2",,0.625278,FAIL,15,0
1305,"baseten,fw2",,0.123217,PASS,1,0
1509,fw,TransactPlus,GlobalCard,FAIL,13,0
1520,fw2,Not Applicable,NexPay,FAIL,6,1
1636,"baseten,fw2",,5.610599,FAIL,27,1
1698,fw,"64, 107, 163, 276, 381, 384, 4","64, 107, 163, 276, 381, 384, 4",PASS,19,0
1508,fw2,GlobalCard,NexPay,FAIL,10,0
1301,"baseten,fw2",,21.223076,PASS,5,0
1477,fw,"3,4,5,7,8,9,11,15,17,18,20,21,","3, 4, 5, 7, 8, 9, 11, 15, 17, ",PASS,3,0
1676,fw2,6.940959,6.940959,PASS,9,0
1447,"baseten,fw2",,['C'],PASS,11,0
1365,fw,32.909600,25.891435,FAIL,12,0
1505,fw2,GlobalCard,GlobalCard,PASS,15,0
1385,"baseten,fw2",Not Applicable,5.866154,FAIL,23,2
2489,fw,-10499.54789400000000,-10499.54789400000000,PASS,17,1
2523,fw2,Martinis_Fine_Steakhouse,Martinis_Fine_Steakhouse,PASS,4,0
1347,"baseten,fw2",,0.626512,PASS,10,0
1641,fw,5.933722,6.591781,FAIL,4,0
1784,fw2,,"36, 51, 53, 64, 65, 107, 123, ",FAIL,2,0
1312,fw2,0.325500,0.349255,FAIL,11,0
1684,fw,"64, 381, 454, 473, 572, 813","64, 381, 454, 473, 572, 813",PASS,19,0
1577,fw2,6.580365,6.580365,PASS,3,0
1752,fw2,"36, 51, 53, 64, 65, 107, 123, ","36, 51, 53, 64, 65, 107, 123, ",PASS,26,1
1574,fw,27.108636,27.250479,FAIL,2,0
1593,fw2,0.609665,0.609665,PASS,8,0
1449,fw2,['D'],['C'],FAIL,12,0
1514,fw,SwiftCharge,NexPay,FAIL,10,0
1769,fw2,"29, 36, 51, 64, 65, 89, 107, 1","29, 36, 51, 64, 65, 89, 107, 1",PASS,28,0
1331,"fw2,p:fw_1331",7.180793,7.180793,PASS,11,0
1431,fw,25.149238,25.149238,PASS,6,0
1791,fw2,"12, 36, 38, 51, 64, 79, 84, 10","12, 36, 38, 51, 64, 79, 84, 10",PASS,10,0
1517,"p:fw_1517,fw2",GlobalCard,GlobalCard,PASS,21,0
1706,fw,"107,183,304,384,427,428,454,47","107, 183, 304, 384, 427, 428, ",FAIL,22,0
2490,fw2,2048.69227200000000,2048.69227200000000,PASS,8,0
1344,"fw2,p:fw_1344",0.347431,0.347431,PASS,19,0
1510,fw,GlobalCard,NexPay,FAIL,5,0
1401,fw2,0.104400,0.115980,FAIL,15,0
1512,"fw2,p:bt_1512",SwiftCharge,NexPay,FAIL,25,0
2511,fw,-45.81824000000000,-45.81824000000000,PASS,8,0
1743,fw2,"36, 51, 53, 64, 65, 107, 123, ","36, 51, 53, 64, 65, 107, 123, ",PASS,32,0
1515,"fw2,p:bt_1515",GlobalCard,GlobalCard,PASS,15,0
